test,anchor,variant,dx,dy,matcher,inliers,total_matches,reproj_err_px,success
cross_provider,donbas_rural.jpg,esri_vs_google,0,0,orb,0,3,inf,0
cross_provider,donbas_rural.jpg,esri_vs_google,0,0,superpoint_lightglue,315,687,4.30,1
cross_provider,izyum_fields.jpg,esri_vs_google,0,0,orb,35,49,2.96,1
cross_provider,izyum_fields.jpg,esri_vs_google,0,0,superpoint_lightglue,561,924,2.93,1
cross_provider,kharkiv_urban.jpg,esri_vs_google,0,0,orb,114,150,0.70,1
cross_provider,kharkiv_urban.jpg,esri_vs_google,0,0,superpoint_lightglue,824,1119,1.16,1
cross_provider,kramatorsk_mixed.jpg,esri_vs_google,0,0,orb,108,154,2.41,1
cross_provider,kramatorsk_mixed.jpg,esri_vs_google,0,0,superpoint_lightglue,671,1186,2.01,1
cross_provider,oskil_river.jpg,esri_vs_google,0,0,orb,0,5,inf,0
cross_provider,oskil_river.jpg,esri_vs_google,0,0,superpoint_lightglue,125,503,3.79,1
cross_provider,severodonetsk.jpg,esri_vs_google,0,0,orb,4,13,1679.72,0
cross_provider,severodonetsk.jpg,esri_vs_google,0,0,superpoint_lightglue,322,832,2.35,1
spatial_overlap,donbas_rural.jpg,dx0_dy0,0,0,orb,1926,1926,0.00,1
spatial_overlap,donbas_rural.jpg,dx0_dy0,0,0,superpoint_lightglue,2045,2045,0.00,1
spatial_overlap,donbas_rural.jpg,dx32_dy0,32,0,orb,1334,1383,0.34,1
spatial_overlap,donbas_rural.jpg,dx32_dy0,32,0,superpoint_lightglue,1858,1858,0.02,1
spatial_overlap,donbas_rural.jpg,dx64_dy0,64,0,orb,1134,1160,0.17,1
spatial_overlap,donbas_rural.jpg,dx64_dy0,64,0,superpoint_lightglue,1705,1705,0.02,1
spatial_overlap,donbas_rural.jpg,dx128_dy0,128,0,orb,904,924,0.32,1
spatial_overlap,donbas_rural.jpg,dx128_dy0,128,0,superpoint_lightglue,1402,1402,0.03,1
spatial_overlap,donbas_rural.jpg,dx192_dy0,192,0,orb,491,597,1.21,1
spatial_overlap,donbas_rural.jpg,dx192_dy0,192,0,superpoint_lightglue,1138,1138,0.03,1
spatial_overlap,donbas_rural.jpg,dx256_dy0,256,0,orb,168,180,1.02,1
spatial_overlap,donbas_rural.jpg,dx256_dy0,256,0,superpoint_lightglue,880,881,0.03,1
spatial_overlap,donbas_rural.jpg,dx0_dy64,0,64,orb,1353,1534,0.37,1
spatial_overlap,donbas_rural.jpg,dx0_dy64,0,64,superpoint_lightglue,1767,1767,0.01,1
spatial_overlap,donbas_rural.jpg,dx0_dy128,0,128,orb,1349,1377,0.17,1
spatial_overlap,donbas_rural.jpg,dx0_dy128,0,128,superpoint_lightglue,1512,1512,0.02,1
spatial_overlap,donbas_rural.jpg,dx0_dy256,0,256,orb,229,254,1.06,1
spatial_overlap,donbas_rural.jpg,dx0_dy256,0,256,superpoint_lightglue,1010,1010,0.07,1
spatial_overlap,donbas_rural.jpg,dx64_dy64,64,64,orb,1050,1064,0.41,1
spatial_overlap,donbas_rural.jpg,dx64_dy64,64,64,superpoint_lightglue,1495,1495,0.01,1
spatial_overlap,donbas_rural.jpg,dx128_dy128,128,128,orb,528,550,0.40,1
spatial_overlap,donbas_rural.jpg,dx128_dy128,128,128,superpoint_lightglue,1066,1066,0.06,1
spatial_overlap,donbas_rural.jpg,dx192_dy192,192,192,orb,144,165,4.13,1
spatial_overlap,donbas_rural.jpg,dx192_dy192,192,192,superpoint_lightglue,760,760,0.06,1
spatial_overlap,izyum_fields.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1
spatial_overlap,izyum_fields.jpg,dx0_dy0,0,0,superpoint_lightglue,1863,1863,0.00,1
spatial_overlap,izyum_fields.jpg,dx32_dy0,32,0,orb,1407,1489,0.25,1
spatial_overlap,izyum_fields.jpg,dx32_dy0,32,0,superpoint_lightglue,1719,1719,0.03,1
spatial_overlap,izyum_fields.jpg,dx64_dy0,64,0,orb,1284,1328,0.11,1
spatial_overlap,izyum_fields.jpg,dx64_dy0,64,0,superpoint_lightglue,1584,1584,0.03,1
spatial_overlap,izyum_fields.jpg,dx128_dy0,128,0,orb,966,1087,0.89,1
spatial_overlap,izyum_fields.jpg,dx128_dy0,128,0,superpoint_lightglue,1320,1321,0.05,1
spatial_overlap,izyum_fields.jpg,dx192_dy0,192,0,orb,791,827,0.29,1
spatial_overlap,izyum_fields.jpg,dx192_dy0,192,0,superpoint_lightglue,1094,1094,0.04,1
spatial_overlap,izyum_fields.jpg,dx256_dy0,256,0,orb,465,500,1.05,1
spatial_overlap,izyum_fields.jpg,dx256_dy0,256,0,superpoint_lightglue,847,847,0.11,1
spatial_overlap,izyum_fields.jpg,dx0_dy64,0,64,orb,1126,1155,0.25,1
spatial_overlap,izyum_fields.jpg,dx0_dy64,0,64,superpoint_lightglue,1608,1608,0.03,1
spatial_overlap,izyum_fields.jpg,dx0_dy128,0,128,orb,616,654,0.29,1
spatial_overlap,izyum_fields.jpg,dx0_dy128,0,128,superpoint_lightglue,1336,1336,0.02,1
spatial_overlap,izyum_fields.jpg,dx0_dy256,0,256,orb,207,215,0.55,1
spatial_overlap,izyum_fields.jpg,dx0_dy256,0,256,superpoint_lightglue,853,854,0.05,1
spatial_overlap,izyum_fields.jpg,dx64_dy64,64,64,orb,896,982,0.36,1
spatial_overlap,izyum_fields.jpg,dx64_dy64,64,64,superpoint_lightglue,1357,1357,0.03,1
spatial_overlap,izyum_fields.jpg,dx128_dy128,128,128,orb,462,477,1.14,1
spatial_overlap,izyum_fields.jpg,dx128_dy128,128,128,superpoint_lightglue,937,937,0.08,1
spatial_overlap,izyum_fields.jpg,dx192_dy192,192,192,orb,142,190,1.32,1
spatial_overlap,izyum_fields.jpg,dx192_dy192,192,192,superpoint_lightglue,678,679,0.08,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1
spatial_overlap,kharkiv_urban.jpg,dx32_dy0,32,0,orb,1435,1463,0.09,1
spatial_overlap,kharkiv_urban.jpg,dx32_dy0,32,0,superpoint_lightglue,1901,1901,0.02,1
spatial_overlap,kharkiv_urban.jpg,dx64_dy0,64,0,orb,1239,1288,0.11,1
spatial_overlap,kharkiv_urban.jpg,dx64_dy0,64,0,superpoint_lightglue,1762,1762,0.03,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy0,128,0,orb,956,1090,0.44,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy0,128,0,superpoint_lightglue,1519,1519,0.05,1
spatial_overlap,kharkiv_urban.jpg,dx192_dy0,192,0,orb,833,860,0.18,1
