anchor,matcher,tilt_deg,scale,yaw_deg,gamma,shadow,inliers,total_matches,reproj_err_px,success
donbas_rural.jpg,orb,0,0.7,0,1.0,0.0,692,818,1.32,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,0,1.0,0.0,1203,1392,0.68,1
donbas_rural.jpg,orb,0,0.7,0,1.0,0.4,460,472,0.31,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,0,1.0,0.4,1186,1291,0.24,1
donbas_rural.jpg,orb,0,0.7,0,1.8,0.0,456,612,1.33,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,0,1.8,0.0,1299,1383,0.20,1
donbas_rural.jpg,orb,0,0.7,0,1.8,0.4,319,339,0.52,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,0,1.8,0.4,1072,1297,0.66,1
donbas_rural.jpg,orb,0,0.7,30,1.0,0.0,776,795,0.62,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,30,1.0,0.0,1248,1335,0.16,1
donbas_rural.jpg,orb,0,0.7,30,1.0,0.4,465,476,0.47,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,30,1.0,0.4,1117,1285,0.36,1
donbas_rural.jpg,orb,0,0.7,30,1.8,0.0,491,595,1.17,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,30,1.8,0.0,1246,1316,0.22,1
donbas_rural.jpg,orb,0,0.7,30,1.8,0.4,313,351,0.56,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,30,1.8,0.4,990,1286,0.96,1
donbas_rural.jpg,orb,0,0.7,90,1.0,0.0,702,822,1.19,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,90,1.0,0.0,5,32,517.66,0
donbas_rural.jpg,orb,0,0.7,90,1.0,0.4,484,528,0.55,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,90,1.0,0.4,6,21,887.51,0
donbas_rural.jpg,orb,0,0.7,90,1.8,0.0,614,636,0.47,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,90,1.8,0.0,6,30,773.93,0
donbas_rural.jpg,orb,0,0.7,90,1.8,0.4,376,443,4.26,1
donbas_rural.jpg,superpoint_lightglue,0,0.7,90,1.8,0.4,6,17,778.03,0
donbas_rural.jpg,orb,0,1.0,0,1.0,0.0,2000,2000,0.00,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,0,1.0,0.0,2041,2041,0.00,1
donbas_rural.jpg,orb,0,1.0,0,1.0,0.4,874,879,0.07,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,0,1.0,0.4,1652,1682,0.05,1
donbas_rural.jpg,orb,0,1.0,0,1.8,0.0,1203,1225,0.06,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,0,1.8,0.0,1618,1654,0.07,1
donbas_rural.jpg,orb,0,1.0,0,1.8,0.4,570,587,0.09,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,0,1.8,0.4,1568,1613,0.10,1
donbas_rural.jpg,orb,0,1.0,30,1.0,0.0,877,914,0.33,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,30,1.0,0.0,1312,1456,0.25,1
donbas_rural.jpg,orb,0,1.0,30,1.0,0.4,538,569,0.39,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,30,1.0,0.4,1142,1356,0.39,1
donbas_rural.jpg,orb,0,1.0,30,1.8,0.0,613,724,1.10,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,30,1.8,0.0,1233,1346,0.21,1
donbas_rural.jpg,orb,0,1.0,30,1.8,0.4,313,411,0.93,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,30,1.8,0.4,1186,1321,0.33,1
donbas_rural.jpg,orb,0,1.0,90,1.0,0.0,1373,1629,0.55,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,90,1.0,0.0,5,24,711.86,0
donbas_rural.jpg,orb,0,1.0,90,1.0,0.4,926,963,0.40,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,90,1.0,0.4,5,26,38130.71,0
donbas_rural.jpg,orb,0,1.0,90,1.8,0.0,924,1139,1.16,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,90,1.8,0.0,5,24,20877.31,0
donbas_rural.jpg,orb,0,1.0,90,1.8,0.4,687,711,0.65,1
donbas_rural.jpg,superpoint_lightglue,0,1.0,90,1.8,0.4,5,22,962.19,0
donbas_rural.jpg,orb,0,1.4,0,1.0,0.0,198,242,3.19,1
donbas_rural.jpg,superpoint_lightglue,0,1.4,0,1.0,0.0,941,1009,0.18,1
donbas_rural.jpg,orb,0,1.4,0,1.0,0.4,110,161,6.53,0
donbas_rural.jpg,superpoint_lightglue,0,1.4,0,1.0,0.4,788,928,0.64,1
donbas_rural.jpg,orb,0,1.4,0,1.8,0.0,171,235,2.40,1
donbas_rural.jpg,superpoint_lightglue,0,1.4,0,1.8,0.0,880,972,0.44,1
donbas_rural.jpg,orb,0,1.4,0,1.8,0.4,130,144,2.93,1
donbas_rural.jpg,superpoint_lightglue,0,1.4,0,1.8,0.4,810,929,0.93,1
donbas_rural.jpg,orb,0,1.4,30,1.0,0.0,148,175,2.38,1
donbas_rural.jpg,superpoint_lightglue,0,1.4,30,1.0,0.0,779,917,0.98,1
donbas_rural.jpg,orb,0,1.4,30,1.0,0.4,105,141,15.68,0
donbas_rural.jpg,superpoint_lightglue,0,1.4,30,1.0,0.4,649,855,2.63,1
donbas_rural.jpg,orb,0,1.4,30,1.8,0.0,128,160,4.12,1
donbas_rural.jpg,superpoint_lightglue,0,1.4,30,1.8,0.0,756,898,0.74,1
donbas_rural.jpg,orb,0,1.4,30,1.8,0.4,98,120,27.44,0
donbas_rural.jpg,superpoint_lightglue,0,1.4,30,1.8,0.4,627,875,2.19,1
donbas_rural.jpg,orb,0,1.4,90,1.0,0.0,205,235,1.15,1
donbas_rural.jpg,superpoint_lightglue,0,1.4,90,1.0,0.0,4,10,1024.69,0
donbas_rural.jpg,orb,0,1.4,90,1.0,0.4,150,182,3.74,1
donbas_rural.jpg,superpoint_lightglue,0,1.4,90,1.0,0.4,4,9,1405.82,0
donbas_rural.jpg,orb,0,1.4,90,1.8,0.0,223,248,0.63,1
donbas_rural.jpg,superpoint_lightglue,0,1.4,90,1.8,0.0,4,14,1491.13,0
donbas_rural.jpg,orb,0,1.4,90,1.8,0.4,138,173,8.71,0
donbas_rural.jpg,superpoint_lightglue,0,1.4,90,1.8,0.4,5,20,1088.10,0
donbas_rural.jpg,orb,5,0.7,0,1.0,0.0,580,702,0.94,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,0,1.0,0.0,1193,1382,0.45,1
donbas_rural.jpg,orb,5,0.7,0,1.0,0.4,411,429,0.59,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,0,1.0,0.4,1222,1304,0.20,1
donbas_rural.jpg,orb,5,0.7,0,1.8,0.0,515,558,0.48,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,0,1.8,0.0,918,1367,1.49,1
donbas_rural.jpg,orb,5,0.7,0,1.8,0.4,286,298,0.76,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,0,1.8,0.4,1177,1297,0.23,1
donbas_rural.jpg,orb,5,0.7,30,1.0,0.0,632,682,0.83,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,30,1.0,0.0,1171,1307,0.78,1
donbas_rural.jpg,orb,5,0.7,30,1.0,0.4,408,442,1.15,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,30,1.0,0.4,1057,1253,0.58,1
donbas_rural.jpg,orb,5,0.7,30,1.8,0.0,493,541,0.77,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,30,1.8,0.0,1240,1310,0.33,1
donbas_rural.jpg,orb,5,0.7,30,1.8,0.4,299,316,0.58,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,30,1.8,0.4,888,1247,1.38,1
donbas_rural.jpg,orb,5,0.7,90,1.0,0.0,681,689,0.55,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,90,1.0,0.0,5,28,633.22,0
donbas_rural.jpg,orb,5,0.7,90,1.0,0.4,323,331,0.74,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,90,1.0,0.4,5,24,590.21,0
donbas_rural.jpg,orb,5,0.7,90,1.8,0.0,475,564,1.35,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,90,1.8,0.0,5,31,657.92,0
donbas_rural.jpg,orb,5,0.7,90,1.8,0.4,229,278,2.00,1
donbas_rural.jpg,superpoint_lightglue,5,0.7,90,1.8,0.4,4,15,526.41,0
donbas_rural.jpg,orb,5,1.0,0,1.0,0.0,867,1031,1.40,1
